replicate,first_CG23_failure,first_anytime_failure,terminal_k,terminal_risk
0,0,0,2,0.00019896513861395671
1,0,0,2,0.0003793085071570857
2,0,0,2,0.00026058027734972603
3,0,0,2,0.0001299250228879189
4,3650,0,1,0.0005940750550836289
5,0,0,2,0.0001290575450547753
6,0,0,1,0.00025823428886627913
7,0,0,1,7.384014187043333e-05
8,0,0,1,2.0321672311913905e-05
9,0,0,2,0.0002814730475047735
10,148,0,2,0.00024374791047496798
11,0,0,2,0.00019747097502628401
12,0,0,2,0.0004616232610146963
13,0,0,2,0.00015822523611333736
14,0,0,2,0.0004095098203194576
15,0,0,1,0.00037760181446872064
16,0,0,2,1.010156829174126e-05
17,262,0,2,0.0005336867020575464
18,0,0,2,0.00039564820427093585
19,0,0,1,1.9598458468825934e-05
20,437,0,2,0.0002899083603706255
21,0,0,2,0.0001048521548622669
22,0,0,2,0.00034929617341507676
23,0,0,2,0.00038741287912348187
24,0,0,2,0.00019653759460344023
25,0,0,2,0.00020491572747587358
26,0,0,1,8.545356618690524e-05
27,0,0,2,0.00017659672175725604
28,0,0,2,7.686582811007809e-05
29,0,0,1,0.00010277398213585363
30,0,0,2,0.00016540451432127924
31,0,0,2,0.0007955934911873201
32,0,0,2,0.00019473466458001158
33,0,0,2,0.00019629075916869306
34,0,0,2,0.00018399220234097732
35,69,0,2,6.156819675343999e-05
36,0,0,2,0.0003271517725754881
37,17,0,2,0.0002714462192911815
38,0,0,2,5.2749786283468727e-05
39,0,0,2,0.000246391120965185
40,0,0,2,0.00011130147496581395
41,0,0,2,7.471193671836581e-05
42,0,0,2,0.0001832327473176252
43,0,0,2,0.00029876611309985777
44,0,0,2,0.00012204645483016103
45,0,0,1,0.00043816343560741785
46,0,0,2,0.0006384311405688831
47,0,0,2,0.00013178452012773263
48,0,0,2,0.0001988759147342264
49,0,0,2,0.00024485410761995014
50,0,0,2,6.632260557469315e-05
51,0,0,2,6.112671648164265e-05
52,0,0,2,0.00014735419557537917
53,0,0,1,0.0001282013563987071
54,0,0,2,0.0001257557116675153
55,0,0,2,0.00031968339471571657
56,0,0,2,0.00047322470724733395
57,0,0,2,7.61860204127383e-05
58,0,0,2,0.0001802058685449354
59,0,0,2,0.0002788397319878546
60,0,0,2,0.0006026660921809437
61,0,0,2,0.00018156440686269425
62,0,0,2,0.000390145419816463
63,0,0,2,0.00033214862706811997
64,0,0,2,7.118328692150495e-05
65,0,0,2,0.00041884557645961696
66,0,0,2,0.0009405140432756803
67,0,0,2,0.00024108388581994196
68,0,0,2,0.00025235538857902237
69,0,0,2,0.00021207760178068943
70,0,0,2,0.00014896274364591228
71,0,0,2,0.0002223208772201912
72,0,0,2,0.0001303166223023513
73,0,0,2,0.00027587130442234634
74,0,0,1,2.8506107195959887e-05
75,2819,0,2,0.00038958237412984833
76,0,0,2,0.00027175467524456564
77,0,0,2,0.00036078080425828437
78,0,0,2,0.00017716358139379328
79,0,0,2,0.00021985365043145143
80,0,0,2,7.45291869569718e-06
81,0,0,2,0.0003345323063056135
82,0,0,2,0.0002882571082709989
83,0,0,1,0.0003192707000006586
84,0,0,2,0.0002992363772516458
85,0,0,2,5.593479797836534e-05
86,0,0,2,0.0002441740570909632
87,0,0,2,0.00025201870298018157
88,0,0,2,0.0004653456994990982
89,0,0,1,0.00033964262488158075
90,0,0,2,0.0003302868587891087
91,0,0,2,0.00031949930817832503
92,0,0,2,0.00019186611116906685
93,0,0,2,0.00025957208394850127
94,0,0,2,0.00010634171594856725
95,0,0,2,0.0002758109713335746
96,0,0,2,0.00014639484622426565
97,0,0,2,8.287001006340205e-05
98,0,0,2,0.00026851392133024594
99,0,0,2,0.00016017043142117356
100,0,0,2,0.00020432156203552845
101,0,0,1,0.00016571211885382502
102,0,0,2,6.287953245646557e-05
103,21,0,2,0.00012912761965873246
104,0,0,2,0.000506887243371326
105,0,0,2,0.0001259982926642275
106,0,0,1,0.00017724184457247995
107,0,0,2,0.00018578170919445415
108,0,0,2,0.0002683554738299601
109,529,0,2,0.00022117735760866737
110,868,0,2,0.000672145892173394
111,0,0,1,3.9399401106957144e-05
112,0,0,2,0.0002871630920570461
113,0,0,2,0.0005396311232376158
114,2541,0,2,0.00047847308531993047
115,0,0,1,0.0001482921688825966
116,0,0,2,0.0002734875969333298
117,0,0,2,0.000249987064877845
118,0,0,2,0.00037648293052224653
119,0,0,2,7.546914247245163e-05
120,0,0,2,0.00026116755639286464
121,0,0,2,5.8950965946473676e-05
122,0,0,1,6.821903911625955e-05
123,0,0,2,8.87575034949965e-05
124,0,0,2,0.0005401401062486766
125,0,0,2,0.00013950315066575035
126,0,0,2,0.0002604207998127213
127,0,0,2,0.00011902507325433257
128,0,0,2,0.0001405718739492137
129,0,0,2,0.00035540276328235697
130,0,0,2,0.0001553065228296456
131,0,0,2,9.244181948927091e-05
132,0,0,2,0.00024683546022234693
133,0,0,2,0.00018366206733839286
134,0,0,2,0.00018044664338307556
135,0,0,2,0.00023542620016731174
136,0,0,2,0.0001986290397812104
137,0,0,2,0.0003973696828633851
138,0,0,1,0.0001916855177451512
139,0,0,2,0.00047509640368320334
140,0,0,2,0.00012845256387714006
141,0,0,2,0.000229204816639332
142,0,0,2,0.0004984187283224425
143,0,0,2,0.00017691405124881492
144,0,0,2,3.942928791057988e-05
145,30,0,2,0.00015330829131605483
146,0,0,2,5.0758460339247235e-05
147,0,0,2,9.007694299679406e-05
148,0,0,1,4.9358902711147956e-05
149,0,0,2,0.00013585205994500951
150,0,0,1,3.0373449918323797e-05
151,42,0,2,5.643252996264176e-05
152,0,0,2,0.00017177303991115471
153,0,0,2,0.00017740968574951342
154,0,0,2,0.00020230826022026762
155,0,0,1,4.186547374607639e-05
156,0,0,2,0.0002830460706478098
157,0,0,2,0.0005710973520190391
158,0,0,2,0.0003200704792628348
159,0,0,2,0.00021312029801305422
160,0,0,2,0.0003249850348949012
161,0,0,2,0.0006224898533120949
162,0,0,2,0.00022143672106587415
163,0,0,1,0.00019848415451005635
164,0,0,2,3.4469456115369796e-05
165,0,0,2,0.00014523153603824166
166,0,0,2,0.00024298328294650049
167,0,0,2,0.0001645345030140289
168,0,0,2,5.6115533226524154e-05
169,0,0,1,0.00011523078388323504
170,0,0,1,0.0001130998660241388
171,0,0,2,0.00025555539712416377
172,0,0,2,0.0002300651735665135
173,0,0,2,0.00015068483500456289
174,0,0,2,0.00032650567998505415
175,0,0,2,0.00037810573544458457
176,0,0,1,5.005608129901963e-05
177,0,0,2,0.000297727860694288
178,0,0,2,0.0001848623796598824
179,0,0,1,4.688808530600418e-05
180,0,0,2,0.0002691757037327408
181,0,0,2,0.00027600403897401406
182,0,0,2,0.00019457775083270935
183,0,0,2,0.000609936086219339
184,0,0,2,0.00026029567355900145
185,0,0,2,0.0005710321574470476
186,0,0,2,0.00026124151181830416
187,0,0,2,0.00016407773650635723
188,0,0,2,0.00015862767167010405
189,0,0,2,0.0006071161702363138
190,0,0,2,0.0004527987057250201
191,0,0,2,0.00026981515248548395
192,0,0,1,0.00017277263319886112
193,0,0,1,8.32352575534033e-05
194,0,0,2,0.00022839311267435346
195,0,0,2,1.1785288114535866e-06
196,0,0,2,0.00017089622775352494
197,0,0,2,0.00019936576251934607
198,35,0,1,5.129241618362922e-05
199,0,0,2,9.502338400726312e-05
200,0,0,2,0.0003203500189308807
201,0,0,2,0.0003707473223554465
202,0,0,2,0.00013301568713748813
203,0,0,2,0.00010229689186475509
204,0,0,2,0.00014240903140282457
205,0,0,2,0.0002923656937515974
206,0,0,2,8.571945258184991e-05
207,0,0,1,0.0001968933944717776
208,0,0,1,3.059331866047019e-05
209,0,0,1,0.000281661649147355
210,0,0,2,5.421646663038015e-05
211,0,0,1,6.415767749610678e-05
212,0,0,2,0.00011708978645176096
213,0,0,2,0.00025399122500488773
214,0,0,2,6.80316889226996e-05
215,0,0,2,0.0001588652644553101
216,0,0,2,8.408405612584163e-05
217,0,0,2,4.667173191428427e-05
218,0,0,2,0.0002258793107768907
219,317,0,2,0.00036790577218617847
220,0,0,2,9.912116475543113e-05
221,0,0,2,0.0001957203211523538
222,0,0,2,5.89931664642668e-05
223,0,0,2,1.8339951039580494e-05
224,0,0,2,0.00020778255554857036
225,0,0,2,0.00012167470781003591
226,0,0,2,3.998233951501852e-05
227,0,0,2,0.00033229745464022207
228,7,0,2,0.0001053819980644214
229,0,0,2,0.00033053075553977814
230,0,0,2,0.0007050813240973899
231,0,0,1,1.821966153970309e-05
